Date received,Product,Consumer complaint narrative,Company,State,Company response to consumer,Resolution_Time_Days,root_cause_category,severity_score,regulatory_risk_flag
2025-11-30,Credit card,"I am reporting a suspicious and potentially fraudulent Capital One debit card that I received in the mail. The card arrived unsolicited I did not apply for any Capital One account, and I do not have any active or prior accounts with Capital One. 

The card that arrived has the following number printed on it : XXXX XXXX 
The phone numbers printed on the back of the card are : XXXX and XXXX. 

The pamphlet in the envelope listed another number : XXXX. None of these numbers match any official Capital One customer service numbers I could find. When I called the number from the pamphlet, the representative asked for my full Social Security number. When I refused, they then asked for my bank account information. I immediately ended the call. 

My credit reports do not show any new or unfamiliar accounts, and my credit files have been frozen for over a year. I have been a victim of identity theft in the past specifically, someone took over my XXXX account and the Massachusetts Attorney Generals Office had to assist me in regaining access.

Given my history with identity theft, along with the suspicious phone numbers and the requests for highly sensitive information, I believe this debit card was sent as part of a fraud or identity-theft attempt. 

I am requesting that the CFPB investigate how this card and any associated account were created in my name, verify whether Capital One ( or someone impersonating them ) opened an account without my authorization, and ensure the fraudulent activity is stopped and removed.",CAPITAL ONE FINANCIAL CORPORATION,MA,Closed with explanation,0,Identity Theft and Fraudulent Account Opening,5,True
2025-03-22,Credit card,"We're not exactly sure what date it happened but somehow I lost or got stolen my bag which had my phone my drivers license all of my credit cards in it and clearly it's being used. There are multiple transactions that don't belong to me. With a few exceptions Starting on XX/XX/XXXX, it reads office supplies for {$270.00} that is not mine going all the way to XX/XX/XXXX I don't know what this company is. It's out of XXXX XXXX  and it's {$40.00} all of the transactions from XX/XX/XXXX through XX/XX/XXXX or not mine. I know I made a payment because I thought I had a little bit of a balance left but today I actually went in and looked and this is crazy now remember, I said there were a couple exceptions couple things do belong to me, and the only reason these belong to me is because they were already connected to my account. I didn't have to have the card to use them. 

XXXX XXXX XXXX XXXX XXXX XXXXXXXX online tax product These five companies do not dispute. These are my transactions, but just these five companies listed above and like I said those companies were already attached to my account so I didn't have to type anything in it. Just automatically bills. Every other transaction from XX/XX/XXXX through XX/XX/XXXX is fraud we did not make these transactions. No I didn't give anybody permission to use my card. I don't know anybody that would've done this. I don't know exactly when we lost the bag but I'm guessing it was around XX/XX/XXXX.",SYNCHRONY FINANCIAL,MI,Closed with explanation,0,Unauthorized transactions due to lost or stolen card,4,True
2025-08-27,Credit card,"Unable to use citi card for any reason and unable to verify my identity. Ive called 3 times verified my identity 2 of 3 and my balance transfer was not completed. When i last spoke to someone on XX/XX/XXXX i was told it would be done, it was not. Today XX/XX/XXXX i called as i had another fraud alert and they can not verify my identity now. They wanted my social, bank acct info, other credit card info, etc. I refused all personal info not directly related to tue card/acct as i was already verified on the XXXX. Now they will send a letter. I opened this acct XX/XX/XXXX for balance transfer only. And now a month later still unable to transfer.","CITIBANK, N.A.",TX,Closed with non-monetary relief,0,Identity Verification and Account Access Issues,4,True
2025-05-02,Credit card,"Opened a XXXX Credit card with Barclay 's Bank XXXX mos ago for their 0 % interest for XXXX mos. Transferred a balance of about {$4600.00}. Used the card a little for actual purchases and set it to auto pay. The promotional APR was set to expire on XX/XX/year>. I called on XX/XX/year> to get the balance left on the promotional portion so that I could pay it off, they stated {$3600.00} was owed for that portion. I paid {$3700.00}. I called on XX/XX/year> to be sure it was paid off only to find out that their "" system '' auto applied it to pay off the portion that was accruing interest and the rest was applied to promotional portion. I stated that I need them to change the payment allocation needs to be fixed so it paid off the promotional as on XX/XX/year> interest would hit. They can't change the allocation of the payment? This is deceptive? What if I wouldn't have called to find out? How many people are they doing this too and they don't call and then get hit with so much interest? This is unfair. The fact they couldn't change the allocation? Now I had to put another {$1700.00} to pay this off to make sure that no interest hit. I know it's probably in their "" terms '' but either way this is unfair and deceptive practices and they know it!",BARCLAYS BANK DELAWARE,FL,Closed with explanation,0,Payment Allocation Practices,4,True
2025-07-08,Credit card,"I got an email from Bank of America that they wil close down my debit card with a {$2000.00} plus. I could request for a check sent to me but I have to call XXXX or XXXX. I talked to "" XXXX '' from alabama & she was asking for my card account number or SSN. I gave my SSN to her. She was asking for my birthdate & that is when I noticed that she sounds like a scammer. Im afraid that they wil use my SSN to oopen up credits/loans without my authorization. Please help.","BANK OF AMERICA, NATIONAL ASSOCIATION",CA,Closed with explanation,0,Identity Theft/Phishing,5,True
2025-04-09,Credit card,"I called Comenity Bank to close my credit card account but they refused to do so. In fact, the woman kept trying to sell different products to me and would not even acknowledge the attempt to close my account. That should be illegal. Consumers have the right to close credit card accounts. Period.","Bread Financial Holdings, Inc.",IL,Closed with non-monetary relief,0,Account Management/Retention Practices,3,True
2025-07-31,Credit card,"I am writing to report an incident that occurred on XX/XX/year>, at the XXXX XXXX  XXXX in XXXX, Florida, involving one of the representatives at the Lowes booth. 

I visited the Lowes booth to inquire about joining the MyLowes Pro Rewards program and spoke with a representative. During our conversation : - The representative asked for details about my business and entered the information into a device she referred to as a XXXX. 
- After verifying my companys EIN, she requested the last four digits of my Social Security Number. 
- I immediately asked why this information was necessary. She explained that, because I was using my business information, Lowes required additional verification using the last four digits of my SSN. 
- At no point in the conversation did either of us mention the words credit card. I had no intention of opening a credit card. 
- Before providing my SSN digits, I specifically asked whether using the last four digits of my SSN would result in a hard credit inquiry. The representative explicitly stated, No, it will be a soft pull. 

However, just fifteen minutes after leaving the booth, I received notifications indicating that a hard inquiry had been made through XXXX  and that a Lowes credit card account had been opened in my name without my knowledge or consent. 

This experience is a case of consumer fraud. I was misled and provided false information about the nature of the request. I closely monitor my credit and am extremely cautious about allowing hard inquiries. 

A few days later, I was contacted by a representative from Synchrony Bank. She informed me that she might be able to remove the inquiry by initiating a fraud case with Synchrony. She acknowledged that I was induced to apply for credit under false pretenses, which constitutes fraud, and confirmed that she is escalating the matter to their fraud department. 

The incident caused considerable emotional distress. I was unable to sleep, and I did not return to the conference. The remainder of my weekend was overshadowed by stress and frustration and has continued into this week.",SYNCHRONY FINANCIAL,FL,Closed with non-monetary relief,13,Unauthorized Account Opening / Misrepresentation,5,True
2025-07-17,Credit card,"I am writing to file a formal complaint against American Express regarding a recent and unexplained reduction of my available credit limit. 

I have been a loyal American Express customer since XXXX  and have consistently managed my account responsibly. Recently, after paying off my credit card balance in fullbringing the account to a XXXX balancemy available credit limit was unexpectedly and significantly reduced. This was done without prior notice or a clear explanation, despite my long-standing and positive payment history. 

This sudden reduction negatively impacts my credit utilization ratio, which can harm my credit score, even though I acted in a financially responsible manner. I contacted American Express for an explanation, but the response I received was vague and did not provide a satisfactory justification for the decision. 

It is concerning that such actions are being taken against longstanding customers who demonstrate responsible credit behavior. I believe this practice is unfair and may violate principles of fair and transparent lending.

I respectfully request the Consumer Financial Protection Bureau to investigate this matter and assess whether American Express is engaging in practices that are harmful to consumers, especially those who have shown long-term loyalty and financial responsibility.

Please find enclosed copies of relevant account statements and correspondence with American Express. 

Thank you for your attention to this matter. I appreciate your help in addressing this issue. 

Sincerely, XXXX XXXX",AMERICAN EXPRESS COMPANY,WA,Closed with explanation,0,Credit Limit Management,3,True
2025-02-27,Credit card,I am requesting your help to investigate such accounts from these companies that are reporting me inaccurately about the late payments. I have reviewed and checked my credit report and saw that these certain accounts have late payments which is not correct. THERE SHOULD NO LATE PAYMENT REMARKS ON THESE ACCOUNTS.,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,Closed with non-monetary relief,0,Credit Reporting Dispute,3,True
2025-12-26,Credit card,"On XX/XX/2025 I received an email notification that XXXX of my credit cards my capital one silver and my XXXX  cards were closed. It states due to inconsistency of typical account customer usage which is completely illegal. My account was not more than 60 days late, I had a payment scheduled to payment down both balance 's for each card on XX/XX/XXXX to make sure there is positive activity. I did post XXXX previous payments but unfortunately the did cancel out due to my personal checking account flagging it. This is completely concerning and this is ridiculous",CAPITAL ONE FINANCIAL CORPORATION,NY,Closed with explanation,0,Account Closure/Adverse Action,4,True
2025-12-18,Credit card,"A Chase Credit Card Rep called me out of the blue around XX/XX/XXXX, grilled me like a deadbeat about my high balances. Told em Id paid perfectly since XXXX XXXXXXXX XXXX  straight years, auto-deposits, 7 active cards, massive equity and auto payments turned on. She didnt like my tone. Three days laterjust before XXXXthey wiped every limit down to what I owed. No call, no mercy. Scores toast. Im asking you to undo this petty revenge, restore my original limits, and explain how this isnt a gross violation of fair treatment. 

And they chose the worst possible momentslashed it right before XXXX, guaranteeing Id be scrambling for gifts, dinners, travel. My score was XXXX and now dropping under XXXX. I have zero late payments on anything. My credit was perfect. I was waiting to refi when rates get better. I told her that as well. 

This was all intension by her. Please help me from the unfair and horrible decision to destroy me before the holidays.",JPMORGAN CHASE & CO.,CA,Closed with explanation,0,Credit Limit Reduction,4,True
2025-05-05,Credit card,"On XXXX XXXX, 2025, I attempted to make a {$1500.00} credit card payment at a Chase ATM. The machine froze and printed a receipt indicating the transaction had failed, along with a case number. I immediately called Chase, provided the case number, and was told that the payment had gone through successfully. Trusting the representatives assurance, I discarded the receipt. At no point was I advised to keep it or to follow up further. 

Then, in early XXXX, I noticed that the {$1500.00} had been re-added to my balance with no notice, no alert, and no explanation. I was shocked and confused, as I believed this issue had been resolved weeks earlier. 

What followed was over a month of repeated calls, transfers, and dead ends. Chase now claims there is no record of the original case number, and they have closed the matter without any proper resolution. I specifically requested a review of the phone recording from XX/XX/XXXX, where I was clearly told the payment was completed yet I was denied. 

Whats worse, despite constant follow-up and promises that someone would return my call, I have never not once received a single follow-up or update from Chase. Each time, Ive had to start over from the beginning, wasting my time, my energy, and now my money. 

As a consumer, I feel utterly powerless. I did exactly what I was told. I trusted the system. I followed up responsibly. And yet, I have been left completely alone in this without evidence, without help, and now without {$1500.00}. 

It is devastating to realize that a corporation like Chase can bury a customers issue under bureaucracy and silence, while we ordinary people are left with the consequences. I am not just filing this complaint for myself, but out of fear that this has happened to others too, and that it may happen again if there is no accountability. 

I respectfully ask the Consumer Financial Protection Bureau to intervene, investigate, and ensure that this injustice is not dismissed without responsibility.",JPMORGAN CHASE & CO.,CA,Closed with monetary relief,0,Payment Processing Error and Customer Service Failure,5,True
2025-12-29,Credit card,"My Capital One Credit Card was charged XXXX amounts on subsequent months ; first XXXX XXXX XXXX Described as : XXXXXXXX XXXX XXXX XXXX  XXXX for {$240.00}, and second one XXXX XXXX described as : XXXX XXXX XXXX XXXX XXXXXXXX for {$180.00}. Since I don't have any account with XXXX, I called the XXXX phone number to find out why I was charged, and they told me they could not find the charges to my credit card at all in their systems, and to report the amounts as fraudulent charges to my credit card company, Capital One. On or around XX/XX/XXXX, I called Capital One to report the fraud charges. I had already paid the XXXX XXXX charge, not realizing it was not valid, since I had contact with the XXXXXXXX XXXX XXXX XXXX  XXXX store on XXXX XX/XX/year>, about cell phones, which I returned to the store for a refund. Capital One verified several other charges, that they intervened on as fraudulent before closing the account, and stated they would investigate the XXXX XXXX charges. On XX/XX/XXXX, I received communication from Capital One that they were in process of investigating the XXXX fraudulent charges. On my Capital One XXXX statement, they rebilled me for the XXXX XXXX XXXX amount of {$180.00}, and stated in a letter sent to my address, that they had investigated the fraud and received information that the transaction was "" beneficial '' to both parties? I have asked for the information they received, to be given to me, that proves the charge was not fraud, since I have no accounts with XXXX?, and the phone number associated with the charge in my statement, stated to me the charge was fraud. I am XXXX XXXX XXXX, and do not hear well. I called Capital One to authorize my daughter as a user on the account so they could speak to her about the fraud case. When she called to talk to Capital One, they would not discuss the case with her, and now Capital One is charging me interest and penalty on the recharged amount of {$180.00}, stating I owe them {$210.00} now, when they actually owe me a refund for the fraudulent charge I already paid them for, of {$240.00}. I live independently, and my daughter is only occasionally at my home, so I am not able to call Capital One with her present.",CAPITAL ONE FINANCIAL CORPORATION,WI,Closed with monetary relief,0,Unauthorized Transactions / Fraud Dispute Handling,4,True
2025-10-06,Credit card,"My XXXX store card on XX/XX/year>. 

Several Fraudulent charges were made the amount are {$530.00}, {$310.00}, {$9.00}. ( totaling {$850.00} ) After contacting Synchrony on XX/XX/year> I informed them of the above Fraudulent Charges spoke to several people on several different occasions for the last several weeks. Only to be informed that it will take 60 days for to contact me. 

They have not taken the fraudulent charges off my balance while they do their research.",SYNCHRONY FINANCIAL,FL,Closed with monetary relief,0,Unauthorized Transactions/Fraud Dispute Handling,4,True
2025-06-11,Credit card,"I received a notice from Experian that my debit card was suspended due to unusual activity. I have had the account with Experian XXXX since XX/XX/year> and have never used the debit card in which I have had a {$5.00} balance. I asked that the account be closed and to return my {$5.00}. 

Experian said that they could not close the account unless I submit my drivers license, social security card, and a utility bill. This is totally unacceptable after having the account since XXXX.",Experian Information Solutions Inc.,FL,Closed with explanation,0,Account Closure/Identity Verification Dispute,3,True
2025-06-05,Credit card,"It started when Synchrony Bank closed my XXXX XXXX credit card I opened this account XX/XX/XXXX the last time I used that card was XX/XX/XXXX. And when I tried to use it in XX/XX/XXXX Synchrony Bank closed it XX/XX/XXXX saying Synchrony Bank indicative of high risk of failure to pay. When the account have been paid off over a year if they had said lack of use I would have understood. 

Now XX/XX/XXXX went to Lowes charged XXXX, no problem. Then I paid it off. XX/XX/XXXX I charged XXXX and paid that off. Went back to Lowes to make another purchase and found out that they close my account, and when I called Synchrony Bank they told me Lowes handle their own accounts, and Lowes told me Synchrony handles this account and theres nothing they can do about it. Lowes went on and looked up my account and said Synchrony Bank indicative of high risk of failure to pay. my account was paid in full XXXX XXXX charged over {$10000.00} and paid that off. 

I opened this PayPal Master card XX/XX/XXXX I charged a lot on it paid it off and please know I always pay early they get little to no interest. Well I have been charging on it since. The last time I charged on this card was XX/XX/XXXX when I charged {$380.00} I had no problem, back in XXXX XXXX I purchased something from XXXX that cost XXXX which I never received, so I filed a claim with PayPal Master Card and they took the {$200.00} off until after investigation so kept checking my PayPal Master Card account, XX/XX/XXXX I see the {$200.00} show back on my PayPal account, so I called them to ask why am I seeing this {$200.00} when I filed a claim they told I never filed, so I ask them if I could file now! and they said yes! so I filed again this time they never removed the {$200.00}. 2 days later XX/XX/XXXX I went on a just paid it in full. I dont know whats going on but I do know its not right. Synchrony Bank Owns the rights to this card. They closed the Card XX/XX/XXXX. Saying Synchrony Bank indicative of high risk of failure to pay. 

PayPal credit I had for a very long time more than 15 years whether I used the credit or not they have never turned that credit off. But thats not the case right now Ive been using this credit for the last few months last used XX/XX/XXXX and XX/XX/XXXX Synchrony closed the account saying Synchrony Bank indicative of high risk of failure to pay. 

JC Pennys Master Card : the last time I used this card was a long time ago maybe XX/XX/XXXX It doesnt really matter that they closed this card but it has been almost 3 years and it was open until last month XX/XX/XXXX and closed like the other one and they were being used. It didnt matter to Synchrony Bank whether the card was being used and paid for or not they because they still closed the account and the same thing Synchrony Bank indicative of high risk of failure to pay. I always paid on time or before time. Whenever you see Synchrony Banks name on something run.",SYNCHRONY FINANCIAL,CA,Closed with explanation,0,Adverse Action / Account Closure,4,True
2025-07-25,Credit card,"XXXXI am filing this complaint against PayPal for mishandling a dispute related to unauthorized charges on my account. The case number is XXXX XXXX XXXXI was the buyer/account holder, and two unauthorized transactions (totaling over $200) were withdrawn from my account. I filed a dispute through PayPal, and it was originally decided in my favor. Later, I was told the refund would not be issued because Im not protected under Seller Protection.\n\nThis is clearly a mistake, as I was not the seller and did not receive any money. I lost money from my account, and I filed the dispute as the victim of unauthorized charges.\n\nPayPal now says the transaction is part of an external chargeback, but has not explained how or why that affects my refund especially when I never received any funds.\n\nI have contacted PayPal multiple times and asked them to reclassify the case under Buyer Protection, which would apply in my situation, but they have refused. I am requesting the CFPBs assistance in getting my funds restored and having PayPal comply with its own Buyer Protection policies.'","Paypal Holdings, Inc",CA,Closed with explanation,0,Unauthorized Transaction Dispute Handling,4,True
2025-06-06,Credit card,"I declare that the inaccurate late payment remarks on my accounts constitute a violation of 15 USC 1666. I have always made my payments promptly, and any discrepancies in this reporting are both unjust and illegal.","EQUIFAX, INC.",PA,Closed with non-monetary relief,0,Credit Reporting Dispute,4,True
2025-11-18,Credit card,"I purchased what was advertised online as a XXXX XXXX. The merchants video showed the XXXX  being powerful enough to XXXX XXXX XXXX XXXX Before placing the order, I contacted their help desk to confirm whether the product was real. They responded that it was a XXXX XXXX and that it would ship in a few days. Based on that assurance, I completed the purchase. 

A few days later, I became concerned because no background check was required for what was supposed to be a XXXX XXXX. I researched the product and found a XXXX video explaining that the item was actually fake. I attempted to contact the merchant again, but the website and customer service were no longer accessible. 

The package arrived about three weeks later, and my concerns were confirmedthe item was a childrens toy that fires plastic pellets, not a real handgun as advertised. 

I disputed the {$210.00} charge with Goldman Sachs, but for over a year I have been unable to get clarity or a proper resolution. Despite providing information and evidence, Goldman Sachs has continued to deny the dispute. This process has been extremely frustrating and has not resulted in a fair outcome.",GOLDMAN SACHS BANK USA,CO,Closed with monetary relief,0,Merchant Fraud and Dispute Resolution Failure,4,True
2025-08-27,Credit card,I've been trying to get a credit card but they keep on denied the application because of XXXX  reporting ignorancy and XXXX  reporting ignorancy on my credit,CAPITAL ONE FINANCIAL CORPORATION,MO,Closed with explanation,0,Credit Reporting Dispute,3,True
2025-06-18,Credit card,notice of unauthorized transactions. XXXX This card has never been used. There should be no balance. I ask THAT THESE UNAUTHRIZED TRANASCTION ARE REFUNDED AS THIS HAS CAUSED MY CREDIT SCORE TO DROP SIGNIFICANTLY.,FIRST PORTFOLIO SERVICING INC,IN,Closed with explanation,0,Fraud/Unauthorized Transactions,5,True
2025-10-30,Credit card,"My credit report shows late payment entries that I believe are incorrect. In accordance with 15 USC 1681e ( b ) and 15 USC 1681i, my report must include only information that is accurate, complete, and verifiable. I request that these late payment entries be reviewed for verification, and if they can not be confirmed, they should be corrected or deleted.","TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,Closed with non-monetary relief,0,Credit Reporting Dispute,3,True
2025-03-31,Credit card,I submited my payments on time i had to udergo XXXX XXXX to remove a XXXX and asked to change my mailing address and it wasnt XXXX and do to that i have XXXX late fee on my account,TD BANK US HOLDING COMPANY,NJ,Closed with explanation,0,Billing and Payment Processing Error,3,True
2025-01-15,Credit card,"This is the second complaint against Citibank, they have sided against us in a credit card dispute we provided more than enough CLEAR information and receipts to prove that we never received a large item we paid for. 

we opened a dispute with them and they gave the merchant 45 days to respond, the merchant didn't respond but Citibank decided to rule against us in the claim according to them we didn't sign the paperwork properly ( we did ) after filing with CFPB the first time ( XXXX ) Citibank then opened the claim again, and gave the merchant ANOTHER 45 days to respond to them all the while Citibank is holding {$9000.00} hostage on my credit card and it is heavily impacting my families financial situation, what Citibank is doing is completely unjust ad our next step will be taking legal action against them","CITIBANK, N.A.",CA,Closed with explanation,0,Billing Dispute Handling,5,True
2025-09-11,Credit card,"On XX/XX/year>, Capital One closed my credit card account without notifying me.",CAPITAL ONE FINANCIAL CORPORATION,PA,Closed with explanation,0,Account Management,3,True
2025-10-20,Credit card,"There are late payment records on my credit report that I believe are inaccurate. As outlined in 15 USC 1681e ( b ) and 15 USC 1681i, all data reported must be accurate, complete, and verifiable. I am requesting that these entries be investigated and, if they can not be properly verified, that they be corrected or removed.","EQUIFAX, INC.",TX,Closed with explanation,0,Credit Reporting Dispute,3,True
2025-08-08,Credit card,"I am a XXXX  consumer and hold two credit accounts issued by Synchrony Bank : 1. CareCredit ( medical financing ) 2. Living Spaces ( retail financing ) Both accounts involved deferred interest promotional offers that were represented as no interest or same as cash financing. The promotions did not clearly disclose that interest was accruing from the date of purchase at an APR exceeding 29 %, and that this interest would be retroactively applied if the balance was not paid in full by the promotion end date. 

Once the promotional period expired, both accounts were charged extremely high APRs in some cases exceeding 32 % far above the maximum rates permitted under XXXX Finance Code Chapters 302 and 303 for consumer loans.

When I contacted Synchrony Bank to request hardship assistance due to financial difficulty, they refused to offer any meaningful repayment options, refused to reduce interest, and merely referred me to a third-party credit counseling phone number. 

This conduct is : Usurious under XXXX Finance Code XXXX, XXXX, and XXXX, which generally cap consumer loan rates at 18 % and allow recovery of triple damages for overcharges ; Deceptive under the Texas Deceptive Trade Practices Act ( Tex. Bus. & Com. Code 17.46 ) ; Unfair and abusive under the Truth in Lending Act ( TILA ) and CFPBs UDAAP standards, given that the retroactive interest terms were inadequately disclosed ; and Part of a known pattern of misconduct for which Synchrony/CareCredit has previously been subject to enforcement actions by the CFPB and state Attorneys General.

I request the following relief : 1. Removal of all retroactive interest charges assessed on both accounts ; 2. Reduction of APRs to XXXX legal maximum rate for consumer loans ; 3. Implementation of a reasonable hardship repayment plan ; and 4. Any further remedies available under state or federal law, including reimbursement of unlawful interest charges.

Date Account Event Amount Promo Terms Interest Outcome Notes XX/XX/XXXX ( approx ) CareCredit Account opened for XXXX XXXX XXXX XXXX {$6000.00} 0 % interest promotional period Deferred interest accrual from purchase date at 26.99 % APR Paperless statements ; Synchrony charges {$1.00} for paper [ Promo End est mid/late XXXX ] CareCredit Promo expired with ~50 % balance paid Retroactive interest applied ; new APR 32.99 % on new purchases Paid {$2400.00} in interest in XXXX and {$470.00} so far in XXXX XX/XX/XXXX Living Spaces Account opened {$1700.00} No interest until XX/XX/XXXX Deferred interest accrued from purchase date XX/XX/XXXX Living Spaces Promo expired Retroactive interest of {$1800.00} added Interest exceeded original purchase price XX/XX/XXXX Living Spaces Second promo purchase {$3300.00} No interest until XX/XX/XXXX Deferred interest accrued from purchase date XX/XX/XXXX Living Spaces Promo expired Retroactive interest of {$1900.00} added Again, interest close to/exceeding original purchase XX/XX/XXXX @ XXXX XXXX  Both Accounts Hardship request call ( 39 min, 3 reps ) Synchrony refused to lower interest or modify terms Offered only : ( XXXX ) close card & slightly reduce minimum, or ( XXXX ) credit counseling phone number ; condolences on fathers death but no financial help Key Points This Timeline Proves APR Spikes : APR jumped as high as 32.99 % above XXXX  consumer loan caps ( 18 % ) potential usury violation. 
Deferred Interest Trap : Retroactive interest charges were in some cases greater than the original financed amount. 
Refusal of Hardship Assistance : Multiple attempts met with scripted denials, despite clear financial hardship and bereavement. 
Pattern Across Products : Both CareCredit and Living Spaces accounts operated under the same Synchrony-controlled terms and tactics.",SYNCHRONY FINANCIAL,TX,Closed with explanation,0,Deceptive Marketing and Unfair Lending Practices,5,True
2025-12-30,Credit card,"I am filing a complaint against XXXX XXXX XXXX regarding misleading and deceptive financing practices related to their advertised interest-free or no interest financing. 

At the time of purchase, XXXX XXXX XXXX advertised and represented the financing as interest-free. However, I was not clearly informed verbally or in a way that was conspicuous that this was actually a deferred-interest loan, meaning that if the balance was not paid in full by the promotional deadline, interest would be retroactively added to the entire purchase amount. 

Only later did I discover that back interest was charged, which significantly increased the total cost. This material term was either not disclosed clearly or was buried in fine print, while sales staff emphasized interest-free financing in a misleading manner. 

I believe this practice is deceptive and unfair, as a reasonable consumer would understand interest-free to mean that interest would not accrue or be added retroactively. This financing structure was not adequately explained at the time of sale, preventing me from making an informed financial decision. 

I am requesting that this complaint be reviewed for deceptive business practices and misleading advertising, and that appropriate action be taken to prevent this conduct from continuing. I am also seeking a resolution regarding the interest charges applied to my account. 

The purchase happened in XXXX of XXXX.",WELLS FARGO & COMPANY,CT,Closed with explanation,0,Deceptive Marketing and Disclosure Practices,4,True
2025-08-19,Credit card,"XXXX unauthorized transactions occurred on my Citibank XXXX credit card : * XX/XX/year> {$570.00} * XX/XX/year> {$590.00} XXXX reported the fraud on XX/XX/XXXX, and XXXX initially issued temporary credits while investigating. I submitted my drivers license as requested and specifically asked that they obtain surveillance footage from XXXX. I was told this would be part of the investigation. 
However, on XX/XX/XXXX, I received a denial letter stating the charges were valid. A Citibank agent later acknowledged that multiple cards had been issued on my account and that the one used for the purchases may not have been in my possession supporting my fraud claim. Despite this, Citibank closed the case without obtaining key evidence from XXXX. 
This reflects a negligent investigation, and the disputed charges are now impacting my account. I am requesting CFPBs assistance to ensure the case is properly reviewed and resolved.","CITIBANK, N.A.",NY,Closed with monetary relief,0,Fraud Investigation Negligence,4,True
2025-01-28,Credit card,"U.S. Bank is still sending me notifications, that I do not have access to as they refuse to give me access to their online dashboard. The access they removed when I used it as proof I had not been refunded for items they refused to dispute. I suspect this notification was them altering their records retroactively for an especially egregious dispute/refund ( no one seems certain which it was ), that I have yet to receive. They recently gave me {$800.00} as monetary restitution that I haven't received and is a small tiny amount that they are continuing to steal from me by not issuing refunds that I recover for items they refused to dispute.",U.S. BANCORP,MI,Closed with non-monetary relief,0,Billing Dispute and Account Access,4,True
2025-11-24,Credit card,On XX/XX/year> XXXX XXXX XXXX XXXX charged {$3500.00} to my card. Around XX/XX/year> I received notification from my XXXX XXXX asking if the transaction was fraud. I confirmed that the charge was mine and a valid charge. They advised they would release the pending fraud hold and pay the merchant since I confirmed. In reviewing my statement I can see where the charges were present and payment is due on them. On XX/XX/year> I received a notification from the merchant that a chargeback for a lessor amount of {$3000.00} had been received from XXXX and that I owed them payment directly. Myself and the merchant conducted a 3way call with XXXX who advised no charge back was initiated. Myself and the merchant requested an investigation be conducted on the {$3000.00} and proof of actual payment be provided. XXXX has provided nothing. Each time I call they open an escalation that goes no where. No proof of payment has been provided and no resolution offered. At this time the merchant is pursuing legal action against me stating that I attempted to defraud them.,"Continental Finance Company, LLC",FL,Closed with explanation,0,Billing Dispute and Payment Processing Error,5,True
2025-12-29,Credit card,"I am filing a formal complaint against Fifth Third Bank for inaccurate credit reporting, lack of required disclosures, and improper handling of a credit card account I never had access to.

Timeline and Facts : When my original Fifth Third credit card expired, I reported it as lost/stolen for security.

Fifth Third issued a replacement card but, without notifying me, created a new account instead of continuing my existing one.

I was never told that a separate account had been opened, never received new account-opening disclosures as required by Regulation Z 1026.6, and I never activated or used the replacement card.

Despite this, Fifth Third later claimed that statements were viewable online. That is inaccurate : the new account never appeared in my online banking, and I had no knowledge or access to it.

The first automated email I ever received saying a statement was available was on XX/XX/year>, even though the bank claims this account had been active for years. Those emails were generic and were automatically routed to a folder in my email and not seen as I get many for other accounts with them. That message made no mention of a new account being opened.

I have maintained a perfect payment record with Fifth Third and can document that I have never missed a payment on any account. If I had known a separate account existed or had access to it, I would have paid any legitimate balance immediately.

Dispute Handling Failures : I contacted customer service and spoke with representatives XXXX ( ID XXXX ) and XXXX ( ID XXXX ). Both confirmed the replacement card was never activated. XXXX refused to allow me to file a dispute or speak to a higher-level manager, stating that it was not a bank error. Fifth Third has also failed to provide : Written disclosure that a new account was created Proof that I ever had access to view statements Complete billing statements or transaction history validating the debt A written explanation of its no error finding Regulatory Violations : Failure to provide account-opening disclosures ( Reg Z 1026.6 ) Failure to provide reasonable access to billing statements ( Reg Z 1026.5 ( b ) ( 2 ) / FCBA ) Refusal to accept or escalate a consumer dispute ( FCBA and FCRA 611 ) Credit Score Impact : Fifth Thirds inaccurate negative reporting caused my credit score to drop approximately XXXX points within a short period. This decline appeared immediately after the disputed delinquency was reported, despite my flawless history with all other accounts. The negative mark has caused measurable financial harm and loss of creditworthiness.

Requested Resolution : 1. Remove or correct the erroneous Fifth Third account and all related negative credit reporting.

2. Provide written confirmation that I was never notified of, nor had access to, the newly created account.

3. Review and correct Fifth Thirds internal dispute-handling failures and staff conduct that obstructed escalation.

Supporting Information / Exhibits : Fifth Third Case # : XXXX Representatives : XXXX ( XXXX ) and XXXX ( XXXX ) First statement available email : XX/XX/year> Proof of on-time payment history and XXXX-point credit-score drop screenshots Evidence the replacement card/account were never activated or accessed Inability to access, pay, or view the statements that informed me of any debt. I did not know of this new account until it hit my credit report.

Relief Sought : Immediate removal of the inaccurate delinquency from all credit bureaus Written acknowledgment that the new account was opened without proper notice or access Restoration of my prior credit standing Review of Fifth Thirds compliance procedures regarding account notifications and dispute handling",FIFTH THIRD FINANCIAL CORPORATION,OH,Closed with explanation,1,Credit Reporting and Disclosure Compliance,5,True
